OFC_CD,OFC_ENG_NM,PRNT_OFC_CD,CRE_DT,CRE_USR_ID,UPD_DT,UPD_USR_ID,DELT_FLG
RIXBA,TRANSOCEAN LATVIA SIA - RIGA,LONHQ,2018-02-06T08:48:00,MIGUSER,2023-08-18T17:19:12,SPRJERT3,N
CASBA,UNIVERSAL SHIPPING - CASABLANCA - MOROCCO,LONHQ,2018-02-06T08:48:00,MIGUSER,2021-10-29T16:14:47,james.neligan@one-line.com,N
TUNBA,GLOBAL CONTAINER AGENCY TUNISIE,LONHQ,2018-02-06T08:48:00,MIGUSER,2020-09-21T17:17:59,stanley.colaco@one-line.com,N
TMMBA,EXAF - TAMATAVE - MADAGASCAR,LONHQ,2018-02-06T08:48:00,MIGUSER,2022-06-23T20:19:50,james.neligan@one-line.com,N
MTABA,"O. F. GOLLCHER  SONS LTD., VALLETTA - MALTA",LONHQ,2018-02-06T08:48:00,MIGUSER,2021-02-02T18:04:14,daniel.smart@one-line.com,N
LLWBA,CEVA LOGISTICS MALAWI LIMITED,LONHQ,2018-02-06T08:48:00,MIGUSER,2023-11-23T17:10:19,james.neligan@one-line.com,N
BEWBA,MANICA FREIGHT SERVICES (MOC) S.A. - MAPUTO - MOZAMBIQUE,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T21:59:50,james.neligan@one-line.com,N
WVBBA,OCEAN LINER SERVICES (MANICA) - NAMIBIA,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T21:27:41,james.neligan@one-line.com,N
LOSBB,OCEAN NETWORK EXPRESS (NIGERIA) LIMITED- LAGOS,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-11-25T18:53:06,james.neligan@one-line.com,N
RTMBB,OCEAN NETWORK EXPRESS (NETHERLAND) B.V. - ROTTERDAM,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T18:38:13,james.neligan@one-line.com,N
GDNBB,Ocean Network Express (Europe) Ltd. Spolka z ograniczona odpowiedzialnoscia Oddzial w Polsce,GDYBB,2018-02-06T08:48:00,MIGUSER,2018-02-12T23:52:40,greta.mccartin@one-line.com,N
GDYBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA ODDZIAL W POLSCE - GDYNI,HAMBB,2018-02-06T08:48:00,MIGUSER,2020-02-13T00:28:53,stanley.colaco@one-line.com,N
LISBB,OCEAN NETWORK EXPRESS PTE. LTD LISBON,OPOBB,2018-02-06T08:48:00,MIGUSER,2023-06-12T18:23:37,james.neligan@one-line.com,N
OPOBB,OCEAN NETWORK EXPRESS PTE. LTD OPORTO - PORTUGAL,LONHQ,2018-02-06T08:48:00,MIGUSER,2023-06-12T18:23:02,james.neligan@one-line.com,N
CNDBA,CONTAINER NETWORK AGENCY  S.R.L - CONSTANTA - ROMANIA,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T21:26:51,james.neligan@one-line.com,N
NVSBA,"NOVO ORIENT AGENCY LLC, NOVOROSSIYSK - RUSSIA",SPBBB,2018-02-06T08:48:00,MIGUSER,2022-06-23T20:17:25,james.neligan@one-line.com,N
SPBBB,OCEAN NETWORK EXPRESS (RUS) LLC - ST. PETERSBURG,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T18:09:10,james.neligan@one-line.com,N
MOWBB,OCEAN NETWORK EXPRESS (RUS) LLC - MOSCOW,SPBBB,2018-02-06T08:48:00,MIGUSER,2019-10-21T18:09:29,james.neligan@one-line.com,N
VVOBA,"ERMA SHIPPING CO. LTD., VLADIVOSTOK - RUSSIA",SPBBB,2018-02-06T08:48:00,MIGUSER,2022-06-20T23:35:12,james.neligan@one-line.com,N
GOTBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. SWEDEN FILIAL - GOTHENBURG,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-17T22:49:21,james.neligan@one-line.com,N
KOPBA,CENTRALOG D.O.O - KOPER - SLOVENIA,LONHQ,2018-02-06T08:48:00,MIGUSER,2022-01-20T23:14:01,james.neligan@one-line.com,N
DKRBA,SOCOPAO SENEGAL - DAKAR,LONHQ,2018-02-06T08:48:00,MIGUSER,2023-07-18T17:46:51,koray.mertler@one-line.com,N
LFWBA,R-LOGISTIC TOGO S.A,LONHQ,2018-02-06T08:48:00,MIGUSER,2020-06-01T23:52:41,koray.mertler@one-line.com,N
ISTBB,OCEAN NETWORK EXPRESS TURKEY (ISTANBUL) DENIZCILIK A.S.,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-08-30T16:27:30,maria.godinho@one-line.com,N
IZMBB,OCEAN NETWORK EXPRESS TURKEY (IZMIR) DENIZCILIK A.S.,ISTBB,2018-02-06T08:48:00,MIGUSER,2018-06-13T00:44:00,sandy.dhanjal@one-line.com,N
MERBB,OCEAN NETWORK EXPRESS TURKEY (MERSIN) DENIZCILIK A.S.,ISTBA,2018-02-06T08:48:00,MIGUSER,2019-08-30T16:59:59,maria.godinho@one-line.com,N
DARBA,WOSAC LIMITIED - DAR ES SALAAM - TANZANIA,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T21:49:22,james.neligan@one-line.com,N
ODSBA,"UNITED LINER AGENCY (UKRAINE), LTD - ODESSA",LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T21:57:49,james.neligan@one-line.com,N
KLABA,BOLLORE TRANSPORT  LOGISTICS UGANDA,LONHQ,2018-02-06T08:48:00,MIGUSER,2021-05-04T22:21:26,james.neligan@one-line.com,N
CPTBB,OCEAN NETWORK EXPRESS (SOUTH AFRICA) PTY LTD - CAPE TOWN,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-09-02T22:42:12,fernanda.mendes@one-line.com,N
DURBB,OCEAN NETWORK EXPRESS (SOUTH AFRICA) PTY LTD - DURBAN,CPTBB,2018-02-06T08:48:00,MIGUSER,2019-09-02T22:41:54,fernanda.mendes@one-line.com,N
ELSBB,OCEAN NETWORK EXPRESS (SOUTH AFRICA) PTY LTD - EAST LONDON,CPTBB,2018-02-06T08:48:00,MIGUSER,2019-08-21T18:53:08,izabel.osude@one-line.com,N
JNBBB,OCEAN NETWORK EXPRESS (SOUTH AFRICA) PTY LTD - JOHANNESBURG,CPTBB,2018-02-06T08:48:00,MIGUSER,2019-08-21T18:50:57,izabel.osude@one-line.com,N
PLZBB,OCEAN NETWORK EXPRESS (SOUTH AFRICA) PTY LTD - PORT ELIZABETH,CPTBB,2018-02-06T08:48:00,MIGUSER,2023-10-05T17:56:55,james.neligan@one-line.com,N
HREBA,ALRO SHIPPING (PVT) LTD - HARARE - ZIMBABWE,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T21:49:46,james.neligan@one-line.com,N
HKGHQ,Ocean Network Express (East Asia) Ltd. - Hong Kong,SINHO,2018-02-06T08:48:00,MIGUSER,2023-01-17T11:30:36,phoebe.tse@one-line.com,N
HKGBB,Ocean Network Express (East Asia) Ltd. - Hong Kong,HKGHQ,2018-02-06T08:48:00,MIGUSER,2022-12-18T20:58:56,phoebe.tse@one-line.com,N
AUHBA,Kanoo Group L L C,DXBBB,2018-02-06T08:48:00,MIGUSER,2018-03-23T17:46:15,angie.tan@one-line.com,N
DXBBB,Ocean Network Express LLC,SINHQ,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:52:36,jinzhuang.pang@one-line.com,N
SHJBA,SHARAF SHIPPING AGENCY LLC,DXBBB,2018-02-06T08:48:00,MIGUSER,2018-03-23T17:46:36,angie.tan@one-line.com,N
PPGBA,"TRANSAM PAGO PAGO, PAGO PAGO",SINHQ,2018-02-06T08:48:00,MIGUSER,2018-02-23T17:22:42,angie.tan@one-line.com,N
BNEBB,Ocean Network Express (Australia) Pty Ltd - Brisba,SYDBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:41:23,jinzhuang.pang@one-line.com,N
ADLBB,Ocean Network Express (Australia) Pty Ltd - Adelai,SYDBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:39:33,jinzhuang.pang@one-line.com,N
SYDBB,Ocean Network Express (Australia) Pty Ltd - Sydney,SINHQ,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:41:35,jinzhuang.pang@one-line.com,N
MELBB,Ocean Network Express (Australia) Pty Ltd - Melbou,SYDBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:41:10,jinzhuang.pang@one-line.com,N
FREBB,Ocean Network Express (Australia) Pty Ltd - Freman,SYDBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:40:55,jinzhuang.pang@one-line.com,N
CGPBB,Ocean Network Express (Bangladesh) Ltd.- Chittagon,DACBB,2018-02-06T08:48:00,MIGUSER,2022-01-26T09:49:25,jinzhuang.pang@one-line.com,N
DACBB,Ocean Network Express (Bangladesh) Ltd.- Dhakka,SINHQ,2018-02-06T08:48:00,MIGUSER,2022-01-26T09:49:10,jinzhuang.pang@one-line.com,N
KHLBB,Ocean Network Express (Bangladesh) Ltd.- Khulna,DACBB,2018-02-06T08:48:00,MIGUSER,2018-02-12T11:24:06,phoebe.tse@one-line.com,N
BHRBA,"GULF AGENCY COMPANY (BAHRAIN) W.L.L, BAHRAIN",SINHQ,2018-02-06T08:48:00,MIGUSER,2020-07-01T09:03:52,angie.tan@one-line.com,N
BRUBA,"INCHCAPE BORNEO SDN. BHD., MUARA",SINHQ,2018-02-06T08:48:00,MIGUSER,2018-10-04T12:10:07,angie.tan@one-line.com,N
CANBB,Ocean Network Express (China) Ltd. - Guangzhou,HKGBB,2018-02-06T08:48:00,MIGUSER,2020-08-10T11:58:38,SPRABEA1,N
CGOBB,Ocean Network Express (China) Ltd. - Zhengzhou,TAOBB,2018-02-06T08:48:00,MIGUSER,2018-03-27T10:16:35,driven.chen@one-line.com,N
CTUBB,Ocean Network Express (China) Ltd. - Chengdu,NKGBB,2018-02-06T08:48:00,MIGUSER,2018-03-27T10:17:29,driven.chen@one-line.com,N
DLCBB,Ocean Network Express (China) Ltd. - Dalian,SHABB,2018-02-06T08:48:00,MIGUSER,2018-05-22T17:55:31,jing.ding@one-line.com,N
HFEBB,Ocean Network Express (China) Ltd. - Hefei,NKGBB,2018-02-06T08:48:00,MIGUSER,2018-04-10T13:57:25,ciara.zhu@one-line.com,N
NBOBB,Ocean Network Express (China) Ltd. - Ningbo,SHABB,2018-02-06T08:48:00,MIGUSER,2018-05-22T17:57:16,jing.ding@one-line.com,N
WUHBB,Ocean Network Express (China) Ltd. - Wuhan,NKGBB,2018-02-06T08:48:00,MIGUSER,2018-03-27T10:17:06,driven.chen@one-line.com,N
CKGBB,Ocean Network Express (China) Ltd. - Chongqing,NKGBB,2018-02-06T08:48:00,MIGUSER,2018-03-27T10:17:20,driven.chen@one-line.com,N
NKGBB,Ocean Network Express (China) Ltd. - Nanjing,SHABB,2018-02-06T08:48:00,MIGUSER,2018-05-22T17:57:41,jing.ding@one-line.com,N
SHABB,Ocean Network Express (China) Ltd. - Shanghai,HKGHQ,2018-02-06T08:48:00,MIGUSER,2018-05-23T14:09:04,jing.ding@one-line.com,N
HGHBB,Ocean Network Express (China) Ltd. - Hangzhou,SHABB,2018-02-06T08:48:00,MIGUSER,2018-04-10T13:58:04,ciara.zhu@one-line.com,N
SIABB,Ocean Network Express (China) Ltd. - Xi'an,TAOBB,2018-02-06T08:48:00,MIGUSER,2018-03-27T10:16:49,driven.chen@one-line.com,N
SJWBB,Ocean Network Express (China) Ltd. - Shijiazhuang,TSNBB,2018-02-06T08:48:00,MIGUSER,2018-04-10T13:58:44,ciara.zhu@one-line.com,N
SZHBB,Ocean Network Express (China) Ltd. - Suzhou,SHABB,2018-02-06T08:48:00,MIGUSER,2022-01-10T16:55:54,phoebe.tse@one-line.com,N
SZPBB,Ocean Network Express (China) Ltd. - Shenzhen,HKGBB,2018-02-06T08:48:00,MIGUSER,2020-08-10T11:56:25,SPRABEA1,N
LYGBB,Ocean Network Express (China) Ltd. - Lianyungang,TAOBB,2018-02-06T08:48:00,MIGUSER,2018-03-27T10:16:10,driven.chen@one-line.com,N
TAOBB,OCEAN NETWORK EXPRESS (CHINA) LTD. - QINGDAO,SHABB,2018-02-06T08:48:00,MIGUSER,2018-05-22T17:56:46,jing.ding@one-line.com,N
TSNBB,OCEAN NETWORK EXPRESS (CHINA) LTD. - TIANJIN,SHABB,2018-02-06T08:48:00,MIGUSER,2018-05-19T16:06:38,jing.ding@one-line.com,N
XMNBB,Ocean Network Express (China) Ltd. - Xiamen,HKGHQ,2018-02-06T08:48:00,MIGUSER,2018-04-04T23:42:09,phoebe.tse@one-line.com,N
FOCBB,Ocean Network Express (China) Ltd. - Fuzhou,XMNBB,2018-02-06T08:48:00,MIGUSER,2018-04-04T23:40:42,phoebe.tse@one-line.com,N
ZHUBB,Ocean Network Express (China) Ltd. - Zhuhai,ZHOBB,2018-02-06T08:48:00,MIGUSER,2020-06-22T16:59:53,phoebe.tse@one-line.com,N
ZHOBB,Ocean Network Express (China) Ltd. - Zhongshan,HKGBB,2018-02-06T08:48:00,MIGUSER,2020-08-10T11:57:31,SPRABEA1,N
LAKBA,"CARPENTERS SHIPPING, LAUTOKA",SINHQ,2018-02-06T08:48:00,MIGUSER,2022-03-28T08:58:48,zac.kan@one-line.com,N
SUVBA,"CARPENTERS SHIPPING, SUVA",LAKBA,2018-02-06T08:48:00,MIGUSER,2022-03-28T08:56:47,zac.kan@one-line.com,N
GUMBA,"MARIANAS STEAMSHIP AGENCIES, INC., GUAM",SINHQ,2018-02-06T08:48:00,MIGUSER,2022-06-21T11:38:37,natasha.hayashi@one-line.com,N
BDOBB,PT Ocean Network Express Indonesia - Bandung,JKTBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:48:17,jinzhuang.pang@one-line.com,N
BNDBB,PT Ocean Network Express Indonesia - Lampung,JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-06T14:42:52,phoebe.tse@one-line.com,N
BPNBA,"PT SAMUDERA AGENCIES INDONESIA, BALIKPAPAN",JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-06T14:44:38,phoebe.tse@one-line.com,N
BTMBB,PT Ocean Network Express Indonesia - Batam,JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-06T14:44:05,phoebe.tse@one-line.com,N
DPSBB,PT Ocean Network Express Indonesia - Bali,JKTBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:48:29,jinzhuang.pang@one-line.com,N
PKUBA,"PT SAMUDERA INDONESIA TBK, PEKAN BARU",JKTBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T11:03:54,jinzhuang.pang@one-line.com,N
PDGBA,"PT SAMUDERA AGENCIES INDONESIA, PADANG",JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-06T14:45:14,phoebe.tse@one-line.com,N
PLMBB,PT Ocean Network Express Indonesia - Palembang,JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-06T14:42:34,phoebe.tse@one-line.com,N
BDJBA,"PT SAMUDERA AGENCIES INDONESIA, BANJARMASIN",JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-06T14:45:37,phoebe.tse@one-line.com,N
PNKBA,PT SAMUDERA AGENCIES INDONESIA - PONTIANAK,JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-07T11:30:49,phoebe.tse@one-line.com,N
TPPBB,PT Ocean Network Express Indonesia - Tanjung Priok,JKTBB,2018-02-06T08:48:00,MIGUSER,2018-04-13T13:28:58,angie.tan@one-line.com,N
JKTBB,PT Ocean Network Express Indonesia - Jakarta,SINHQ,2018-02-06T08:48:00,MIGUSER,2019-08-08T17:24:04,angie.tan@one-line.com,N
MKSBA,"PT SAMUDERA AGENCIES INDONESIA, MAKASSAR",JKTBB,2018-02-06T08:48:00,MIGUSER,2023-09-18T09:10:41,zac.kan@one-line.com,N
SRIBA,"PT SAMUDERA AGENCIES INDONESIA, SAMARINDA",JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-06T14:44:22,phoebe.tse@one-line.com,N
MESBB,PT Ocean Network Express Indonesia - Medan,JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-06T14:43:31,phoebe.tse@one-line.com,N
SRGBB,PT Ocean Network Express Indonesia - Semarang,JKTBB,2018-02-06T08:48:00,MIGUSER,2023-07-06T14:43:15,phoebe.tse@one-line.com,N
SUBBB,PT Ocean Network Express Indonesia - Surabaya,JKTBB,2018-02-06T08:48:00,MIGUSER,2019-08-29T18:02:21,angie.tan@one-line.com,N
AMDBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - AHMEDABAD,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:42:34,jinzhuang.pang@one-line.com,N
BLRBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED- BANGALORE,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:42:45,jinzhuang.pang@one-line.com,N
BRDBA,"OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED., BARODA",MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T11:01:08,jinzhuang.pang@one-line.com,N
CCUBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - KOLKATA,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:43:59,jinzhuang.pang@one-line.com,N
COKBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - KOCHI,MUMBB,2018-02-06T08:48:00,MIGUSER,2023-02-20T12:01:04,zac.kan@one-line.com,N
DELBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - DELHI,MUMBB,2018-02-06T08:48:00,MIGUSER,2023-04-19T17:40:28,aaron.jk.lim@one-line.com,N
GINBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - GANDHIDHAM,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:44:54,jinzhuang.pang@one-line.com,N
GOIBA,ASPINWALL  CO. LTD,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T11:01:40,jinzhuang.pang@one-line.com,N
HYDBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - HYD,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:45:18,jinzhuang.pang@one-line.com,N
LUHBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - LUDHIANA,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:45:30,jinzhuang.pang@one-line.com,N
MAABB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - CHENNAI,MUMBB,2018-02-06T08:48:00,MIGUSER,2022-12-15T13:08:11,zac.kan@one-line.com,N
MANBA,ORIENTAL EXIM AGENCY,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T11:01:52,jinzhuang.pang@one-line.com,N
MUMBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - MUMBAI,SINHQ,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:46:00,jinzhuang.pang@one-line.com,N
NAGBA,"ANUBHAV KARGO PRIVATE LTD., NAGPUR",MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T11:02:06,jinzhuang.pang@one-line.com,N
PITBA,UNITED LINER SHIPPING SERVICES LLP,MUMBB,2018-02-06T08:48:00,MIGUSER,2022-01-12T18:30:15,jinzhuang.pang@one-line.com,N
PNQBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - PUNE,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:46:23,jinzhuang.pang@one-line.com,N
TUTBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - TUTICORIN,MUMBB,2018-02-06T08:48:00,MIGUSER,2022-09-21T15:32:08,aaron.jk.lim@one-line.com,N
VTZBB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - VISAKHAPATNAM,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-12-08T16:03:43,jinzhuang.pang@one-line.com,N
VVABB,OCEAN NETWORK EXPRESS (INDIA) PRIVATE LIMITED - VERAVAL,MUMBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:46:42,jinzhuang.pang@one-line.com,N
BSRBA,PENINSULAR MARINE SERVICE CO. LTD.,SINHQ,2018-02-06T08:48:00,MIGUSER,2018-02-22T18:48:10,angie.tan@one-line.com,N
AMMBA,GARGOUR SHIPPING COMPANY,SINHQ,2018-02-06T08:48:00,MIGUSER,2018-02-22T18:48:27,angie.tan@one-line.com,N
HIJBA,OCEAN NETWORK EXPRESS (JAPAN) LTD. - HIROSHIMA,TYOBB,2018-02-06T08:48:00,MIGUSER,2018-06-28T07:33:49,takayo.yamamoto@one-line.com,N
HKTBA,OCEAN NETWORK EXPRESS (JAPAN) LTD. - KYUSHU,TYOBB,2018-02-06T08:48:00,MIGUSER,2019-05-09T13:21:14,takayo.yamamoto@one-line.com,N
MOJBA,"GENEQ CORP., MOJI",TYOBB,2018-02-06T08:48:00,MIGUSER,2022-07-11T10:20:56,raymond.kwok@one-line.com,N
SBSBA,KYOSHIN GUMI,TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-22T17:04:47,phoebe.tse@one-line.com,N
NKNBA,"MAZDA LOGISTICS CO., LTD, NAKANOSEKI",TYOBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T20:11:25,qinying.shum@one-line.com,N
HSMBA,"HAKKO UNYU CO., LTD.,",TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-26T11:29:34,phoebe.tse@one-line.com,N
NAHBA,"OTK COMPANY,LTD., NAHA",TYOBB,2018-02-06T08:48:00,MIGUSER,2018-08-14T18:53:21,takayo.yamamoto@one-line.com,N
TKYBA,"GENEQ CORP., TOKUYAMA",TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-22T17:02:27,phoebe.tse@one-line.com,N
MIZBA,"NAAKATANI KOUN CO.,LTD., MIZUSHIMA",TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-23T20:39:16,phoebe.tse@one-line.com,N
IYMBA,I-LINE LOGISTICS,TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-22T17:01:12,phoebe.tse@one-line.com,N
MYJBA,I-LINE LOGISTICS,TYOBB,2018-02-06T08:48:00,MIGUSER,2020-05-20T16:10:47,SPRKRIC1,N
NGOBB,OCEAN NETWORK EXPRESS (JAPAN) LTD. - NAGOYA,TYOBB,2018-02-06T08:48:00,MIGUSER,2023-10-19T15:25:50,phoebe.tse@one-line.com,N
YKKBA,JAPAN TRANSCITY CORPORATION,TYOBB,2018-02-06T08:48:00,MIGUSER,2022-07-11T10:23:01,raymond.kwok@one-line.com,N
TOYBA,"TOYAMASHINKO FUSHIKI KAIRIKU UNSO. CO., LTD.,",TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-23T20:39:39,phoebe.tse@one-line.com,N
OSABB,OCEAN NETWORK EXPRESS (JAPAN) LTD. - OSAKA,TYOBB,2018-02-06T08:48:00,MIGUSER,2019-05-16T15:29:16,shizuko.nomai@one-line.com,N
SDJBA,"KINKAI YUSEN KAISHA, LTD., SENDAI",TYOBB,2018-02-06T08:48:00,MIGUSER,2018-08-14T18:11:09,takayo.yamamoto@one-line.com,N
SMZBA,"SHIMIZU UNITED AGENCY CO., LTD",TYOBB,2018-02-06T08:48:00,MIGUSER,2018-02-18T16:22:10,takayo.yamamoto@one-line.com,N
KUHBA,"MITSUWA TRANSPORT CO., LTD., KUSHIRO",TYOBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T20:31:13,qinying.shum@one-line.com,N
SPKBA,"DO NOT USE PLS USE TMKBA - NORTH STAR TRANSPORT CO.,LTD., SAPPORO",TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-23T19:31:57,phoebe.tse@one-line.com,N
NAOBA,"NAOETSU KAIRIKU UNSO CO., LTD., NAOETSU",TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-22T17:02:00,phoebe.tse@one-line.com,N
TMKBA,"NORTH STAR TRANSPORT CO.,LTD.,",TYOBB,2018-02-06T08:48:00,MIGUSER,2018-08-14T18:08:28,takayo.yamamoto@one-line.com,N
KIJBA,"RINKO CORPORATION., NIIGATA",TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-23T19:47:13,phoebe.tse@one-line.com,N
AXTBA,"AKITA KAIRIKU UNSO CO., LTD., AKITA",TYOBB,2018-02-06T08:48:00,MIGUSER,2020-06-22T17:02:56,phoebe.tse@one-line.com,N
TYOBB,OCEAN NETWORK EXPRESS (JAPAN) LTD. - TOKYO,HKGHQ,2018-02-06T08:48:00,MIGUSER,2018-07-10T17:14:17,shizuko.nomai@one-line.com,N
PNHBA,"ELEMENT SHIPPING CO., LTD.",SINHQ,2018-02-06T08:48:00,MIGUSER,2021-10-22T11:00:03,jinzhuang.pang@one-line.com,N
TRWBA,"SHIPPING AGENCIES OF KIRIBATI, TARAWA",SINHQ,2018-02-06T08:48:00,MIGUSER,2018-02-24T14:19:59,angie.tan@one-line.com,N
PUSBB,"Ocean Network Express (Korea) Co., Ltd. - Busan",SELBB,2018-02-06T08:48:00,MIGUSER,2023-06-13T18:06:45,phoebe.tse@one-line.com,N
SELBB,"Ocean Network Express (Korea) Co., Ltd. - Seoul",HKGHQ,2018-02-06T08:48:00,MIGUSER,2023-01-17T14:24:22,phoebe.tse@one-line.com,N
KWTBA,"GULF AGENCY COMPANY (KUWAIT) LTD., KUWAIT",SINHQ,2018-02-06T08:48:00,MIGUSER,2018-02-24T14:24:25,angie.tan@one-line.com,N
CMBBB,OCEAN NETWORK EXPRESS LANKA (PVT) LTD,SINHQ,2018-02-06T08:48:00,MIGUSER,2022-02-28T08:55:54,phoebe.tse@one-line.com,N
MAJBA,"CENTRAL PACIFIC MARITIME AGENCY, MAJURO",SINHQ,2018-02-06T08:48:00,MIGUSER,2018-02-24T14:32:06,angie.tan@one-line.com,N
YGNBB,ONE Ocean Network Express (Myanmar) Ltd - Yangon,SINHQ,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:49:15,jinzhuang.pang@one-line.com,N
SPNBA,"SAIPAN SHIPPING COMPANY INC., SAIPAN",SINHQ,2018-02-06T08:48:00,MIGUSER,2022-06-21T11:36:37,natasha.hayashi@one-line.com,N
JHBBB,Ocean Network Express (Malaysia) Sdn. Bhd. - Johor,PKGBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:49:04,jinzhuang.pang@one-line.com,N
PGUBB,"NYK LINE (MALAYSIA) SDN. BHD., PASIR GUDANG",PKGBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T21:35:28,qinying.shum@one-line.com,N
PENBB,Ocean Network Express (Malaysia) Sdn. Bhd. - Penan,PKGBB,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:48:53,jinzhuang.pang@one-line.com,N
PKGBB,Ocean Network Express (Malaysia) Sdn. Bhd. - Shah,SINHQ,2018-02-06T08:48:00,MIGUSER,2021-10-22T09:48:41,jinzhuang.pang@one-line.com,N
NOUBA,"AGENCE MARITIME DU ROND POINT DU PACIFIQUE, NOUME",SINHQ,2018-02-06T08:48:00,MIGUSER,2018-02-24T14:44:42,angie.tan@one-line.com,N
CHCBB,OCEAN NETWORK EXPRESS (NEW ZEALAND) LIMITED,AKLBB,2018-02-06T08:48:00,MIGUSER,2018-02-15T10:08:21,phoebe.tse@one-line.com,N
AKLBB,OCEAN NETWORK EXPRESS (NEW ZEALAND) LIMITED,SINHQ,2018-02-06T08:48:00,MIGUSER,2023-05-04T15:04:25,zac.kan@one-line.com,N
